Pair,Judge,segment,Score
Yelena Berezhnaya / Anton Sikharulidze-RUS,Marina Sanaya-RUS,Short Program,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Yang Jiasheng-CHN,Short Program,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Lucy Brennan-USA,Short Program,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Marie-Reine Le Gougne-FRA,Short Program,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Anna Sierocka-POL,Short Program,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Beno?t Lavoie-CAN,Short Program,18
Yelena Berezhnaya / Anton Sikharulidze-RUS,Vladyslav Petukhov-UKR,Short Program,19
Yelena Berezhnaya / Anton Sikharulidze-RUS,Sissy Krick-GER,Short Program,18
Yelena Berezhnaya / Anton Sikharulidze-RUS,Hideo Sugita-JPN,Short Program,19
Jamie Sal? / David Pelletier-CAN,Marina Sanaya-RUS,Short Program,18
Jamie Sal? / David Pelletier-CAN,Yang Jiasheng-CHN,Short Program,18
Jamie Sal? / David Pelletier-CAN,Lucy Brennan-USA,Short Program,18
Jamie Sal? / David Pelletier-CAN,Marie-Reine Le Gougne-FRA,Short Program,18
Jamie Sal? / David Pelletier-CAN,Anna Sierocka-POL,Short Program,18
Jamie Sal? / David Pelletier-CAN,Beno?t Lavoie-CAN,Short Program,19
Jamie Sal? / David Pelletier-CAN,Vladyslav Petukhov-UKR,Short Program,18
Jamie Sal? / David Pelletier-CAN,Sissy Krick-GER,Short Program,19
Jamie Sal? / David Pelletier-CAN,Hideo Sugita-JPN,Short Program,18
Shen Xue / Zhao Hongbo-CHN,Marina Sanaya-RUS,Short Program,17
Shen Xue / Zhao Hongbo-CHN,Yang Jiasheng-CHN,Short Program,17
Shen Xue / Zhao Hongbo-CHN,Lucy Brennan-USA,Short Program,17
Shen Xue / Zhao Hongbo-CHN,Marie-Reine Le Gougne-FRA,Short Program,17
Shen Xue / Zhao Hongbo-CHN,Anna Sierocka-POL,Short Program,17
Shen Xue / Zhao Hongbo-CHN,Beno?t Lavoie-CAN,Short Program,17
Shen Xue / Zhao Hongbo-CHN,Vladyslav Petukhov-UKR,Short Program,17
Shen Xue / Zhao Hongbo-CHN,Sissy Krick-GER,Short Program,17
Shen Xue / Zhao Hongbo-CHN,Hideo Sugita-JPN,Short Program,17
Tatyana Totmyanina / Maksim Marinin-RUS,Marina Sanaya-RUS,Short Program,16
Tatyana Totmyanina / Maksim Marinin-RUS,Yang Jiasheng-CHN,Short Program,16
Tatyana Totmyanina / Maksim Marinin-RUS,Lucy Brennan-USA,Short Program,16
Tatyana Totmyanina / Maksim Marinin-RUS,Marie-Reine Le Gougne-FRA,Short Program,15
Tatyana Totmyanina / Maksim Marinin-RUS,Anna Sierocka-POL,Short Program,16
Tatyana Totmyanina / Maksim Marinin-RUS,Beno?t Lavoie-CAN,Short Program,15
Tatyana Totmyanina / Maksim Marinin-RUS,Vladyslav Petukhov-UKR,Short Program,16
Tatyana Totmyanina / Maksim Marinin-RUS,Sissy Krick-GER,Short Program,15
Tatyana Totmyanina / Maksim Marinin-RUS,Hideo Sugita-JPN,Short Program,14
Kyoko Ina / John Zimmerman-USA,Marina Sanaya-RUS,Short Program,15
Kyoko Ina / John Zimmerman-USA,Yang Jiasheng-CHN,Short Program,14
Kyoko Ina / John Zimmerman-USA,Lucy Brennan-USA,Short Program,15
Kyoko Ina / John Zimmerman-USA,Marie-Reine Le Gougne-FRA,Short Program,14
Kyoko Ina / John Zimmerman-USA,Anna Sierocka-POL,Short Program,15
Kyoko Ina / John Zimmerman-USA,Beno?t Lavoie-CAN,Short Program,16
Kyoko Ina / John Zimmerman-USA,Vladyslav Petukhov-UKR,Short Program,15
Kyoko Ina / John Zimmerman-USA,Sissy Krick-GER,Short Program,16
Kyoko Ina / John Zimmerman-USA,Hideo Sugita-JPN,Short Program,15
Mariya Petrova / Aleksey Tikhonov-RUS,Marina Sanaya-RUS,Short Program,14
