ID,A01,A02,A03,A04,A05,A06,A07,A08,A09,B01,B02,B03,B04,B05,B06,B07,B08,B09,Profile
Nancy_Kerrigan_USA,25,26,26,25,26,26,26,26,26,23,22,22,22,22,23,23,23,22,0
Oksana_Baiul_UKR,26,25,24,26,24,25,25,25,25,21,23,23,23,23,22,22,21,23,0
Surya_Bonaly_FRA,24,24,25,24,25,24,24,24,24,20,21,20,20,20,19,19,19,19,0
Chen_Lu_CHN,19,23,23,23,23,23,23,23,21,22,20,21,21,21,21,21,22,20,0
Tanja_Szewczenko_GER,22,22,22,22,22,22,20,22,23,19,18,17,18,18,20,18,16,18,0
Katarina_Witt_GER,21,19,21,21,17,17,21,21,22,17,13,18,13,17,16,16,15,16,0
Yuka_Sato_JPN,23,21,17,20,18,21,22,20,19,18,19,19,19,19,17,20,20,21,0
Josee_Chouinard_CAN,14,17,16,15,19,20,19,19,20,15,16,15,14,15,15,15,17,15,0
Anna_Rechnio_POL,15,20,18,19,20,16,15,17,18,13,15,12,12,13,11,10,11,10,0
Tonya_Harding_USA,16,16,20,17,16,19,17,18,17,16,18,16,17,16,18,17,18,17,0
Lenka_Kulovana_CZE,20,18,12,12,21,18,16,14,16,14,10,13,10,11,9,12,10,11,0
Krisztina_Czako_HUN,18,15,20,18,13,14,18,4,15,11,11,11,15,14,13,14,12,12,0
Charlene_von_Saher_GBR,17,13,15,14,15,16,8,9,13,2,5,8,7,5,10,8,3,9,0
Marie_Pierre_Leray_FRA,13,14,14,16,12,11,14,11,14,10,12,10,12,10,12,11,13,13,0
Nathalie_Krieg_SUI,1,11,11,13,11,10,10,10,9,9,8,6,5,7,8,4,8,6,0
Mila_Kajas_FIN,8,7,10,9,10,12,12,12,12,12,14,14,16,12,14,13,14,14,0
Olena_Liashenko_UKR,11,10,7,6,14,9,11,16,8,4,9,3,4,0,7,7,6,4,1
Rena_Inoue_JPN,4,9,13,11,7,13,7,7,11,6,6,7,9,8,5,6,4,8,1
Liudmyla_Ivanova_UKR,2,12,9,10,8,3,14,6,10,1,0,0,3,1,2,1,5,1,1
Laetitia_Hubert_FRA,10,8,6,8,9,8,9,13,5,8,7,9,8,9,6,10,9,7,1
Marta_Andrade_ESP,9,6,4,7,4,1,6,15,7,3,3,5,1,3,3,5,1,2,1
Tsvetelina_Abrasheva_BUL,5,3,5,2,5,5,5,9,4,0,4,1,0,2,0,0,0,0,1
Liu_Ying_CHN,7,2,2,3,6,7,4,5,6,7,1,2,6,4,1,2,2,3,1
Lily_Lee_KOR,12,5,8,4,2,4,3,1,2,5,2,4,2,6,4,3,7,5,1
Zhao_Guona_CHN,6,0,1,0,3,6,1,3,3,.,.,.,.,.,.,.,.,.,1
Susan_Anne_Humphreys_CAN,3,4,0,1,1,2,2,2,0,.,.,.,.,.,.,.,.,.,1
Irena_Zemanova_CZE,0,1,3,5,0,0,0,0,1,.,.,.,.,.,.,.,.,.,1
